iter	Passed	Remaining
178	5089	9127
179	5116	9096
180	5145	9068
181	5174	9040
182	5201	9009
183	5230	8982
184	5257	8951
185	5287	8925
186	5317	8900
187	5344	8868
188	5372	8840
189	5400	8811
190	5428	8782
191	5456	8753
192	5486	8726
193	5513	8696
194	5541	8667
195	5573	8644
196	5601	8615
197	5629	8586
198	5658	8559
199	5687	8531
200	5716	8504
201	5747	8478
202	5774	8448
203	5802	8419
204	5832	8393
205	5860	8364
206	5889	8335
207	5916	8305
208	5944	8276
209	5974	8249
210	6006	8226
211	6033	8196
212	6063	8169
213	6091	8140
214	6118	8111
215	6146	8081
216	6177	8055
217	6203	8025
218	6233	7997
219	6260	7968
220	6289	7940
221	6318	7911
222	6347	7884
223	6376	7856
224	6406	7830
225	6438	7805
226	6465	7775
227	6493	7746
228	6521	7717
229	6549	7688
230	6574	7656
231	6602	7627
232	6631	7599
233	6661	7572
234	6689	7543
235	6719	7516
236	6745	7485
237	6775	7458
238	6806	7432
239	6835	7405
240	6864	7377
241	6896	7352
242	6921	7320
243	6949	7290
244	6977	7262
245	7006	7234
246	7036	7207
247	7067	7181
248	7092	7149
249	7122	7122
250	7149	7092
251	7179	7065
252	7207	7036
253	7234	7006
254	7260	6976
255	7289	6947
256	7316	6917
257	7343	6888
258	7371	6858
259	7399	6830
260	7429	6802
261	7460	6777
262	7488	6747
263	7515	6718
264	7544	6690
265	7571	6660
266	7599	6631
267	7626	6602
268	7654	6573
269	7681	6543
270	7708	6513
271	7737	6486
272	7765	6456
273	7792	6427
274	7822	6399
275	7851	6371
276	7880	6343
277	7908	6315
278	7934	6284
279	7960	6254
280	7987	6225
281	8017	6197
282	8047	6171
283	8079	6144
284	8105	6114
285	8131	6084
286	8161	6057
287	8190	6029
288	8215	5998
289	8241	5968
290	8271	5940
291	8299	5912
292	8326	5882
293	8354	5853
294	8382	5825
295	8412	5797
296	8441	5769
297	8470	5741
298	8498	5712
299	8526	5684
300	8555	5656
301	8582	5627
302	8612	5599
303	8639	5570
304	8669	5542
305	8696	5513
306	8726	5486
307	8752	5456
308	8778	5426
309	8809	5399
310	8836	5370
311	8866	5342
312	8893	5313
313	8919	5283
314	8945	5253
315	8971	5223
316	8998	5194
317	9026	5166
318	9057	5139
319	9086	5110
320	9112	5081
321	9141	5053
322	9167	5023
323	9198	4996
324	9226	4968
325	9253	4939
326	9281	4910
327	9306	4880
328	9337	4853
329	9365	4824
330	9394	4796
331	9422	4768
332	9451	4739
333	9481	4712
334	9509	4683
335	9540	4656
336	9568	4628
337	9594	4598
338	9627	4572
339	9658	4545
340	9685	4516
341	9713	4487
342	9743	4459
343	9773	4432
344	9805	4405
345	9835	4377
346	9864	4349
347	9890	4320
348	9918	4291
349	9943	4261
350	9971	4232
351	9996	4203
352	10027	4175
353	10059	4148
354	10089	4121
355	10116	4092
356	10145	4063
357	10174	4035
358	10201	4006
359	10228	3977
360	10256	3949
361	10286	3921
362	10314	3892
363	10342	3864
364	10368	3835
365	10395	3805
366	10424	3777
367	10456	3750
368	10511	3731
369	10547	3705
370	10578	3678
371	10607	3649
372	10636	3621
373	10665	3593
374	10695	3565
375	10721	3535
376	10749	3507
377	10778	3478
378	10806	3450
379	10835	3421
380	10866	3394
381	10896	3365
382	10924	3337
383	10953	3308
384	10983	3280
385	11010	3251
386	11039	3223
387	11074	3196
388	11100	3167
389	11127	3138
390	11156	3110
391	11184	3081
392	11214	3053
393	11242	3024
394	11270	2995
395	11297	2967
396	11324	2938
397	11352	2909
398	11378	2880
399	11405	2851
400	11432	2822
401	11462	2794
402	11491	2765
403	11518	2736
404	11545	2708
405	11573	2679
406	11600	2650
407	11629	2622
408	11660	2594
409	11689	2566
410	11718	2537
411	11747	2509
412	11777	2480
413	11805	2452
414	11830	2423
415	11859	2394
416	11886	2365
417	11916	2337
418	11945	2309
419	11972	2280
420	12000	2251
421	12026	2222
422	12055	2194
423	12084	2166
424	12112	2137
425	12141	2109
426	12171	2080
427	12201	2052
428	12226	2023
429	12256	1995
430	12284	1966
431	12311	1937
432	12337	1909
433	12366	1880
434	12395	1852
435	12423	1823
436	12454	1795
437	12484	1767
438	12515	1739
439	12544	1710
440	12574	1682
441	12604	1653
442	12631	1625
443	12659	1596
444	12687	1568
445	12713	1539
446	12739	1510
447	12766	1481
448	12794	1453
449	12821	1424
450	12850	1396
451	12879	1367
452	12907	1339
453	12939	1311
454	12968	1282
455	12997	1254
456	13023	1225
457	13051	1196
458	13081	1168
459	13111	1140
460	13139	1111
461	13167	1083
462	13194	1054
463	13221	1025
464	13247	997
465	13275	968
466	13303	940
467	13331	911
468	13360	883
469	13386	854
470	13412	825
471	13442	797
472	13470	768
473	13500	740
474	13530	712
475	13559	683
476	13586	655
477	13616	626
478	13646	598
479	13677	569
480	13707	541
481	13736	512
482	13762	484
483	13789	455
484	13820	427
485	13848	398
486	13875	370
487	13901	341
488	13930	313
489	13959	284
490	13986	256
491	14014	227
492	14041	199
493	14070	170
494	14097	142
495	14126	113
496	14153	85
497	14183	56
498	14211	28
499	14238	0
