iter	RMSE
252	0.7260541961
253	0.7258511142
254	0.7256251825
255	0.7253547198
256	0.7252413481
257	0.724936467
258	0.7247368914
259	0.7245214445
260	0.724340891
261	0.7241914661
262	0.7239921488
263	0.7237598926
264	0.7235236146
265	0.7232981693
266	0.7230419554
267	0.7228640257
268	0.7226996354
269	0.7224722862
270	0.722250153
271	0.7220308555
272	0.7217538612
273	0.7215005508
274	0.7212799865
275	0.72108502
276	0.7208811422
277	0.7206887132
278	0.7204631123
279	0.7202681759
280	0.72005682
281	0.7198782939
282	0.7196855587
283	0.7194081565
284	0.7191323594
285	0.718911564
286	0.7187466063
287	0.7185497913
288	0.7184410845
289	0.718247676
290	0.7179964177
291	0.7178699586
292	0.7176105669
293	0.7173784472
294	0.7172437568
295	0.7170957761
296	0.7168889248
297	0.7167453709
298	0.7165888959
299	0.7164541772
300	0.7163063689
301	0.7161186457
302	0.7159609841
303	0.7158139614
304	0.7156389542
305	0.7155529906
306	0.7153494371
307	0.7151726099
308	0.7150768279
309	0.7149128582
310	0.7147926137
311	0.7145560889
312	0.7143809689
313	0.7141657789
314	0.7140286546
315	0.7138128493
316	0.7135618039
317	0.7134413418
318	0.7131445561
319	0.7129425781
320	0.7127232667
321	0.7124667276
322	0.7122603567
323	0.7120801865
324	0.711937819
325	0.7117628499
326	0.7116666464
327	0.7115124465
328	0.7112471948
329	0.7110820175
330	0.7108432032
331	0.7106420894
332	0.7103499211
333	0.7101484096
334	0.7099814798
335	0.7097174266
336	0.7095064254
337	0.7092687019
338	0.7091262406
339	0.7088956151
340	0.7086619793
341	0.7084764794
342	0.7082949979
343	0.7081008848
344	0.7078794591
345	0.707660096
346	0.707519078
347	0.7073346163
348	0.7071410818
349	0.706946998
350	0.7067531723
351	0.7065496082
352	0.7063100567
353	0.7061187549
354	0.7059551895
355	0.7057819749
356	0.7055688477
357	0.7053782911
358	0.7051948483
359	0.7050248798
360	0.7048569845
361	0.7046360891
362	0.7044119138
363	0.7042088096
364	0.7040293581
365	0.7038280045
366	0.7036600827
367	0.703435561
368	0.7032570087
369	0.7031164441
370	0.7029248642
371	0.7027754449
372	0.7025847789
373	0.7024049159
374	0.7022336765
375	0.702070643
376	0.7018374362
377	0.7016909745
378	0.7015690321
379	0.7013974154
380	0.7012445961
381	0.7010587382
382	0.7009005398
383	0.700659589
384	0.7004873483
385	0.7003000055
386	0.7001439829
387	0.6999987895
388	0.6998549155
389	0.6996727211
390	0.6994921939
391	0.6992400925
392	0.6990004281
393	0.6988751285
394	0.6987201935
395	0.698498129
396	0.6983617109
397	0.6981689919
398	0.6979984511
399	0.6978309774
400	0.6976654032
401	0.6975017039
402	0.6973049189
403	0.6971668915
404	0.6969836216
405	0.6968161978
406	0.696566493
407	0.696346506
408	0.6962057317
409	0.6960112954
410	0.69585092
411	0.6957340369
412	0.6955926847
413	0.6953924039
414	0.6951951089
415	0.6950635306
416	0.6949050649
417	0.6947540765
418	0.6945692429
419	0.6944292364
420	0.694256767
421	0.6940503676
422	0.6938160132
423	0.693620568
424	0.6934574217
425	0.6932727734
426	0.6930640847
427	0.692925142
428	0.6927325806
429	0.6925397626
430	0.6923956257
431	0.6922519282
432	0.6920730586
433	0.6919100392
434	0.69172973
435	0.6915918594
436	0.6914225817
437	0.6913020459
438	0.6911287569
439	0.6909624615
440	0.6908059335
441	0.6906464142
442	0.6905183539
443	0.6904336159
444	0.6902688746
445	0.6900725167
446	0.6898617727
447	0.6896659582
448	0.6895140936
449	0.6893654201
450	0.6891833102
451	0.6890304392
452	0.6888781502
453	0.6887114889
454	0.6885199469
455	0.6883190094
456	0.6881545697
457	0.6880265872
458	0.6878468191
459	0.6876700624
460	0.6874935947
461	0.6873597772
462	0.687209532
463	0.6870434486
464	0.6869292948
465	0.6867591061
466	0.6866276998
467	0.6864748977
468	0.6862619425
469	0.6861621311
470	0.6860339572
471	0.6858793745
472	0.68571862
473	0.6856080063
474	0.6854664129
475	0.6853279268
476	0.6851786867
477	0.685010841
478	0.6848650551
479	0.6846895855
480	0.6845415024
481	0.6844229854
482	0.6842776483
483	0.6841053211
484	0.6839668165
485	0.6838078352
486	0.6836865921
487	0.6835261758
488	0.6833533403
489	0.6832498479
490	0.6831516919
491	0.6829790148
492	0.6828451491
493	0.6827164468
494	0.6825475504
495	0.68236089
496	0.6821377834
497	0.6819695651
498	0.6818020858
499	0.6816476071
